"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","04.02.2013","7:45:00","04.02.2013","9:20:00","Ложь","Истина","04.02.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","11.02.2013","7:45:00","11.02.2013","9:20:00","Ложь","Истина","11.02.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","18.02.2013","7:45:00","18.02.2013","9:20:00","Ложь","Истина","18.02.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","25.02.2013","7:45:00","25.02.2013","9:20:00","Ложь","Истина","25.02.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","04.03.2013","7:45:00","04.03.2013","9:20:00","Ложь","Истина","04.03.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","11.03.2013","7:45:00","11.03.2013","9:20:00","Ложь","Истина","11.03.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","18.03.2013","7:45:00","18.03.2013","9:20:00","Ложь","Истина","18.03.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","25.03.2013","7:45:00","25.03.2013","9:20:00","Ложь","Истина","25.03.2013","07:40:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Пз 257 КНи-09-4;КН-09-4","11.02.2013","9:30:00","11.02.2013","11:05:00","Ложь","Истина","11.02.2013","09:25:00","2","Обычная","ПпП Пз 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","18.02.2013","9:30:00","18.02.2013","11:05:00","Ложь","Истина","18.02.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","25.02.2013","9:30:00","25.02.2013","11:05:00","Ложь","Истина","25.02.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","04.03.2013","9:30:00","04.03.2013","11:05:00","Ложь","Истина","04.03.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","11.03.2013","9:30:00","11.03.2013","11:05:00","Ложь","Истина","11.03.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","18.03.2013","9:30:00","18.03.2013","11:05:00","Ложь","Истина","18.03.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","25.03.2013","9:30:00","25.03.2013","11:05:00","Ложь","Истина","25.03.2013","09:25:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Конс 255 КНи-09-4;КН-09-4","11.02.2013","11:15:00","11.02.2013","12:50:00","Ложь","Истина","11.02.2013","11:10:00","2","Обычная","ПпП Конс 255 КНи-09-4;КН-09-4","Обычный"
"ПпП Конс 255 КНи-09-4;КН-09-4","25.02.2013","11:15:00","25.02.2013","12:50:00","Ложь","Истина","25.02.2013","11:10:00","2","Обычная","ПпП Конс 255 КНи-09-4;КН-09-4","Обычный"
"ПпП Конс 255 КНи-09-4;КН-09-4","18.03.2013","11:15:00","18.03.2013","12:50:00","Ложь","Истина","18.03.2013","11:10:00","2","Обычная","ПпП Конс 255 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","12.02.2013","7:45:00","12.02.2013","9:20:00","Ложь","Истина","12.02.2013","07:40:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","19.02.2013","7:45:00","19.02.2013","9:20:00","Ложь","Истина","19.02.2013","07:40:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","05.03.2013","7:45:00","05.03.2013","9:20:00","Ложь","Истина","05.03.2013","07:40:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","12.03.2013","7:45:00","12.03.2013","9:20:00","Ложь","Истина","12.03.2013","07:40:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","19.03.2013","7:45:00","19.03.2013","9:20:00","Ложь","Истина","19.03.2013","07:40:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","12.02.2013","9:30:00","12.02.2013","11:05:00","Ложь","Истина","12.02.2013","09:25:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","19.02.2013","9:30:00","19.02.2013","11:05:00","Ложь","Истина","19.02.2013","09:25:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Конс 255 КНи-09-4;КН-09-4","26.02.2013","9:30:00","26.02.2013","11:05:00","Ложь","Истина","26.02.2013","09:25:00","2","Обычная","СРШІн Конс 255 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","05.03.2013","9:30:00","05.03.2013","11:05:00","Ложь","Истина","05.03.2013","09:25:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","12.03.2013","9:30:00","12.03.2013","11:05:00","Ложь","Истина","12.03.2013","09:25:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Лб 257 КНи-09-4;КН-09-4","19.03.2013","9:30:00","19.03.2013","11:05:00","Ложь","Истина","19.03.2013","09:25:00","2","Обычная","СРШІн Лб 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Конс 255 КНи-09-4;КН-09-4","26.03.2013","9:30:00","26.03.2013","11:05:00","Ложь","Истина","26.03.2013","09:25:00","2","Обычная","СРШІн Конс 255 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","19.02.2013","11:15:00","19.02.2013","12:50:00","Ложь","Истина","19.02.2013","11:10:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Конс 255 КНи-09-4;КН-09-4","26.02.2013","11:15:00","26.02.2013","12:50:00","Ложь","Истина","26.02.2013","11:10:00","2","Обычная","ПпП Конс 255 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","05.03.2013","11:15:00","05.03.2013","12:50:00","Ложь","Истина","05.03.2013","11:10:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","12.03.2013","11:15:00","12.03.2013","12:50:00","Ложь","Истина","12.03.2013","11:10:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","19.03.2013","11:15:00","19.03.2013","12:50:00","Ложь","Истина","19.03.2013","11:10:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","26.03.2013","11:15:00","26.03.2013","12:50:00","Ложь","Истина","26.03.2013","11:10:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","19.02.2013","13:10:00","19.02.2013","14:45:00","Ложь","Истина","19.02.2013","13:05:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","05.03.2013","13:10:00","05.03.2013","14:45:00","Ложь","Истина","05.03.2013","13:05:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","12.03.2013","13:10:00","12.03.2013","14:45:00","Ложь","Истина","12.03.2013","13:05:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","19.03.2013","13:10:00","19.03.2013","14:45:00","Ложь","Истина","19.03.2013","13:05:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лб 257 КНи-09-4;КН-09-4","26.03.2013","13:10:00","26.03.2013","14:45:00","Ложь","Истина","26.03.2013","13:05:00","2","Обычная","ПпП Лб 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","06.02.2013","11:15:00","06.02.2013","12:50:00","Ложь","Истина","06.02.2013","11:10:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Пз 257 КНи-09-4;КН-09-4","13.02.2013","11:15:00","13.02.2013","12:50:00","Ложь","Истина","13.02.2013","11:10:00","2","Обычная","ПпП Пз 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Пз 257 КНи-09-4;КН-09-4","20.02.2013","11:15:00","20.02.2013","12:50:00","Ложь","Истина","20.02.2013","11:10:00","2","Обычная","ПпП Пз 257 КНи-09-4;КН-09-4","Обычный"
"ПпП Пз 257 КНи-09-4;КН-09-4","27.02.2013","11:15:00","27.02.2013","12:50:00","Ложь","Истина","27.02.2013","11:10:00","2","Обычная","ПпП Пз 257 КНи-09-4;КН-09-4","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","06.03.2013","11:15:00","06.03.2013","12:50:00","Ложь","Истина","06.03.2013","11:10:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","13.03.2013","11:15:00","13.03.2013","12:50:00","Ложь","Истина","13.03.2013","11:10:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Конс 255 *ТВВ(КН-09-)-1","20.03.2013","11:15:00","20.03.2013","12:50:00","Ложь","Истина","20.03.2013","11:10:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Конс 255 *ТВВ(КН-09-)-1","Обычный"
